gene,median
SLC25A16,3293.0
NEUROG3,6032.5
TYSND1,2762.0
PPA1,501.0
NPFFR1,5816.5
LRRC20,2462.0
NODAL,5830.5
PRF1,4603.0
PCBD1,953.0
PSAP,117.0
SPOCK2,2686.0
ASCC1,2090.0
DNAJB12,2436.0
PLA2G12B,1670.5
CFAP70,4848.0
ANXA7,1589.0
MSS51,5071.0
PPP3CB,1827.5
MYOZ1,5403.5
NDST2,3242.0
DUSP13,5186.0
COMTD1,2885.0
POLR3A,2625.0
SFTPD,5696.0
ANXA11,2263.0
DYDC1,6072.0
GRID1,5656.0
MMRN2,5415.0
ANKRD22,5557.0
ACTA2,3506.0
CH25H,6072.0
HTR7,5466.0
SRP9,1363.0
CPEB3,3948.0
MYOF,2769.0
RBP4,110.5
FRA10AC1,3703.5
NOC3L,2511.5
CYP2C8,4903.0
PDLIM1,505.0
SORBS1,1159.0
ALDH18A1,775.0
TCTN3,2486.0
BLNK,5832.0
OPALIN,6221.0
TLL2,5886.0
FRAT2,1276.0
AVPI1,826.0
CRTAC1,5811.0
HPS1,2199.0
HPSE2,5976.5
COX15,1190.0
DNMBP,2398.0
ERLIN1,1188.0
MRPL43,1955.0
PDZD7,4953.0
FGF8,5581.0
KCNIP2,4386.0
LDB1,2636.5
PSD,5144.0
ACTR1A,872.5
CALHM2,4807.5
CALHM1,5638.0
CALHM3,5891.0
ITPRIP,3810.0
SORCS1,6148.5
SMNDC1,2810.0
GPAM,3760.0
NRAP,6020.0
AFAP1L2,5170.5
ABLIM1,1151.0
HSPA12A,4413.0
RAB11FIP2,2706.0
FAM204A,3215.0
SFXN4,1843.0
PRDX3,488.5
RGS10,2594.0
TIAL1,1906.0
MCMBP,1942.0
ATE1,2504.5
IKZF5,2571.0
FAM53B,4087.0
ADAM12,4918.0
EBF3,5725.0
BNIP3,1167.0
STK32C,3810.0
TUBGCP2,2639.0
CALY,5162.0
RIC8A,2369.0
PSMD13,1594.0
IFITM1,4451.0
PKP3,4084.0
EPS8L2,1543.0
CD151,841.5
TSPAN4,3020.0
TSPAN32,5806.0
TSSC4,2245.0
ART1,5380.5
PGAP2,2553.0
RRM1,718.0
OR51E1,5971.0
OR51B6,6339.0
C11orf42,5942.0
SMPD1,2071.0
DNHD1,3797.0
ILK,2240.0
NLRP14,5793.5
RBMXL2,6274.0
OLFML1,4611.5
TUB,4373.0
AKIP1,2739.0
ZNF143,2325.0
SWAP70,2765.5
AMPD3,4724.5
MICAL2,4181.0
CALCB,5835.0
INSC,5678.0
NUCB2,2116.0
NCR3LG1,2176.5
MYOD1,5696.0
LDHC,5455.5
LDHAL6A,5764.0
TMEM86A,4826.5
ZDHHC13,3810.0
NAV2,2691.0
PRMT3,3593.0
NELL1,6070.5
ANO5,4468.0
GAS2,3836.5
ANO3,5255.0
FIBIN,5676.5
BBOX1,5186.0
ARL14EP,3581.0
DNAJC24,4343.0
ELP4,2664.0
RCN1,512.0
EIF3M,1660.0
DEPDC7,3268.0
HIPK3,825.0
CAPRIN1,590.0
NAT10,1899.0
CAT,1168.0
EHF,5183.5
CD44,3700.0
FJX1,4264.0
TRIM44,2797.0
RAG1,5506.5
TTC17,1964.0
ACCS,3934.0
EXT2,3172.5
CD82,4082.0
SLC35C1,2743.0
MDK,459.0
F2,3241.0
DDB2,2557.5
SLC39A13,3431.0
SERPING1,1989.0
GLYATL1,5711.0
MS4A3,6349.0
MS4A2,5974.0
MS4A12,6394.5
MS4A8,5647.0
MS4A15,6148.5
CCDC86,698.0
ZP1,5900.0
TMEM109,1552.5
TMEM132A,4026.0
CD5,6034.0
TMEM138,2534.0
TMEM216,2959.0
DAGLA,2973.0
FADS2,1137.0
BEST1,5459.0
INCENP,2163.0
SCGB2A1,6136.5
ASRGL1,3883.0
UQCC3,1810.5
GNG3,5441.5
TTC9C,2015.5
POLR2G,657.0
TAF6L,2629.5
SLC22A9,4463.0
RTN3,3399.0
MARK2,3792.0
NAA40,2467.0
COX8A,291.0
OTUB1,1661.5
FLRT1,5056.5
STIP1,376.0
NUDT22,2840.5
DNAJC4,3927.0
ESRRA,1738.0
PRDX5,780.5
CCDC88B,4560.0
RPS6KA4,3653.5
SLC22A12,5872.0
PPP2R5B,3092.0
POLA2,2275.5
CDC42EP2,3383.0
FRMD8,1666.0
FAM89B,1729.0
OVOL1,5612.0
CTSW,5216.0
SART1,3069.0
CST6,5857.0
PACS1,972.0
CNIH2,4778.0
RBM14,1691.5
SYT12,3960.0
KDM2A,1834.0
RPS6KB2,1054.0
AIP,653.5
NDUFV1,787.0
ALDH3B1,3890.0
IGHMBP2,3507.0
MYEOV,4646.5
FADD,2328.0
NADSYN1,3538.0
IL18BP,3522.0
FOLR1,4544.0
INPPL1,1440.5
ATG16L2,3894.0
P2RY2,4315.0
P2RY6,4867.5
RELT,4079.0
PLEKHB1,2427.0
DNAJB13,5647.0
PPME1,1989.0
SPCS2,2777.5
NEU3,3189.0
SLCO2B1,2093.0
SERPINH1,2099.5
DGAT2,4126.0
UVRAG,3336.0
ACER3,3095.5
AAMDC,3479.0
THRSP,5101.0
DDIAS,3755.0
TMEM126B,1627.0
TMEM126A,1689.0
MED17,3976.0
PANX1,2249.0
PIWIL4,5490.5
CEP57,2932.0
CNTN5,6092.5
YAP1,1849.5
BIRC2,1295.0
GRIA4,6193.0
AASDHPPT,2611.0
ATM,2890.0
DDX10,3694.0
FDX1,3357.0
SIK2,1871.0
DLAT,2616.0
TEX12,5533.5
BCO2,5123.0
PTS,1703.0
NCAM1,5309.0
TTC12,3773.0
HTR3B,5788.0
HTR3A,5583.5
ZBTB16,3320.0
NNMT,3059.5
PAFAH1B2,1452.0
TAGLN,4210.0
RNF214,3396.5
CEP164,3457.0
UBE4A,1694.0
TMEM25,4380.0
CXCR5,5920.5
UPK2,5357.0
C2CD2L,4003.0
HINFP,3567.0
NLRX1,3296.5
CBL,2558.0
OAF,1020.0
POU2F3,5726.0
GRIK4,5914.0
TECTA,5314.0
SC5D,2075.0
SORL1,3067.0
TBRG1,2638.0
SPA17,4510.0
CCDC15,3546.0
SLC37A2,5437.0
PKNOX2,5257.0
EI24,750.0
STT3A,713.0
CHEK1,3395.0
PATE1,6255.5
HYLS1,4105.0
FOXRED1,1724.0
TIRAP,4273.0
KCNJ5,4877.0
APLP2,125.5
ST14,3384.5
ADAMTS15,5415.0
GLB1L3,5713.0
GLB1L2,5535.0
SIRT3,3351.0
SIGIRR,2487.0
ANO9,4685.0
PIDD1,3520.0
POLR2L,617.0
CHID1,3098.0
MOB2,3962.5
TH,6016.5
